Код региона,Название региона,Тип региона,Город,Кол-во людей,Поступило,Очное - Основные места,Средний,Очное - Целевая квота,Средний,Очное - Особая квота,Средний,Очное - Специальная квота,Средний,Очное - ДОУ,Средний,Заочное - Основные места,Средний,Заочное - Целевая квота,Средний,Заочное - Особая квота,Средний,Заочное - Специальная квота,Средний,Заочное - ДОУ,Средний,Очно-заочное - Основные места,Средний,Очно-заочное - Целевая квота,Средний,Очно-заочное - Особая квота,Средний,Очно-заочное - Специальная квота,Средний,Очно-заочное - ДОУ,Средний
17,Ханты-Мансийский автономный округ - Югра,АО,Пыть-Ях,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Ханты-Мансийский автономный округ - Югра,АО,Советский,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Ханты-Мансийский автономный округ - Югра,АО,Покачи,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Ханты-Мансийский автономный округ - Югра,АО,Лангепас,3,1,1,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Ханты-Мансийский автономный округ - Югра,АО,Когалым,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Ханты-Мансийский автономный округ - Югра,АО,Нефтеюганск,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Ханты-Мансийский автономный округ - Югра,АО,Ханты-Мансийск,1,1,1,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Ханты-Мансийский автономный округ - Югра,АО,Сургут,30,10,5,228.4,0,0,1,184,0,0,4,195.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Калужская,обл,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Калужская,обл,Обнинск,2,1,0,0,0,0,0,0,0,0,1,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
