Код региона,Название региона,Тип региона,Кол-во людей,Поступило,Очное - Основные места,Средний,Очное - Целевая квота,Средний,Очное - Особая квота,Средний,Очное - Специальная квота,Средний,Очное - ДОУ,Средний,Заочное - Основные места,Средний,Заочное - Целевая квота,Средний,Заочное - Особая квота,Средний,Заочное - Специальная квота,Средний,Заочное - ДОУ,Средний,Очно-заочное - Основные места,Средний,Очно-заочное - Целевая квота,Средний,Очно-заочное - Особая квота,Средний,Очно-заочное - Специальная квота,Средний,Очно-заочное - ДОУ,Средний
61,Волгоградская,обл,50,11,10,219.22,0,0,0,0,0,0,0,0,1,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Псковская,обл,103,30,21,209.82,2,163.5,0,0,0,0,2,188,2,189,0,0,0,0,0,0,2,200,0,0,0,0,0,0,0,0,1,182
63,Иркутская,обл,58,13,8,208.5,1,222,0,0,0,0,4,185.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Нижегородская,обл,57,12,9,248.75,1,238,0,0,0,0,1,183,0,0,0,0,0,0,0,0,0,0,1,185,0,0,0,0,0,0,0,0
65,Новгородская,обл,122,38,28,213.27,2,225,2,221.5,0,0,2,177,2,265,0,0,0,0,0,0,1,0,1,168,0,0,0,0,0,0,0,0
66,Крым,Респ,20,3,2,229.5,0,0,0,0,0,0,1,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Оренбургская,обл,88,19,7,212.5,3,218,0,0,0,0,6,190.67,1,166,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,206
68,Кировская,обл,64,34,15,226.67,2,210.5,0,0,0,0,14,181,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,166
69,Байконур,г,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Пермский,край,60,14,8,225.75,1,227,1,167,0,0,3,217,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Челябинская,обл,83,19,12,225.86,0,0,0,0,0,0,4,196.75,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
